mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.07,A,level2,0.7281299999999999,0.7281299999999999,0.67613,0.8158571625,0.051999999999999935,0.0,0.08772716250000001,0.0,0.52325,0.0,0.47675,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.07,A,level3,0.7281299999999999,0.7281299999999999,0.67613,0.8158571625,0.051999999999999935,0.0,0.08772716250000001,0.0,0.52325,0.0,0.47675,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.07,B,level1,0.7233749999999999,0.7233749999999999,0.6515749999999999,0.810080146875,0.07179999999999997,0.0,0.08670514687500008,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.07,B,level2,0.7233749999999999,0.7233749999999999,0.6515749999999999,0.810080146875,0.07179999999999997,0.0,0.08670514687500008,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.07,B,level3,0.7233749999999999,0.7233749999999999,0.6515749999999999,0.810080146875,0.07179999999999997,0.0,0.08670514687500008,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.03,A,level1,0.7355274999999999,0.6200275000000001,0.7355274999999999,0.813222533125,0.0,0.11549999999999983,0.07769503312500015,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.03,A,level2,0.7355274999999999,0.6200275000000001,0.7355274999999999,0.813222533125,0.0,0.11549999999999983,0.07769503312500015,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.03,A,level3,0.7355274999999999,0.6200275000000001,0.7355274999999999,0.813222533125,0.0,0.11549999999999983,0.07769503312500015,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.03,B,level1,0.7388075,0.6297075,0.7388075,0.8187796131249999,0.0,0.10909999999999997,0.07997211312499997,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.03,B,level2,0.7388075,0.6297075,0.7388075,0.8187796131249999,0.0,0.10909999999999997,0.07997211312499997,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.03,B,level3,0.7388075,0.6297075,0.7388075,0.8187796131249999,0.0,0.10909999999999997,0.07997211312499997,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.05,A,level1,0.7155274999999999,0.6200275000000001,0.7155274999999999,0.802182533125,0.0,0.09549999999999981,0.08665503312500011,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.05,A,level2,0.7155274999999999,0.6200275000000001,0.7155274999999999,0.802182533125,0.0,0.09549999999999981,0.08665503312500011,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.05,A,level3,0.7155274999999999,0.6200275000000001,0.7155274999999999,0.802182533125,0.0,0.09549999999999981,0.08665503312500011,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.05,B,level1,0.7188075,0.6297075,0.7188075,0.8076671131250001,0.0,0.08910000000000007,0.08885961312500001,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.05,B,level2,0.7188075,0.6297075,0.7188075,0.8076671131250001,0.0,0.08910000000000007,0.08885961312500001,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.05,B,level3,0.7188075,0.6297075,0.7188075,0.8076671131250001,0.0,0.08910000000000007,0.08885961312500001,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.07,A,level1,0.6955275,0.6200275000000001,0.6955275,0.791142533125,0.0,0.0754999999999999,0.09561503312500008,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
